Şimdi,Tarih
3433.35,2019-02-20 00:00:00
3439.37,2019-02-19 00:00:00
3429.7,2019-02-18 00:00:00
3425.81,2019-02-15 00:00:00
3409.25,2019-02-14 00:00:00
3396.43,2019-02-13 00:00:00
3411.01,2019-12-02 00:00:00
3442.07,2019-11-02 00:00:00
3404.64,2019-08-02 00:00:00
3411.44,2019-07-02 00:00:00
3399.15,2019-06-02 00:00:00
3481.32,2019-05-02 00:00:00
3535.28,2019-04-02 00:00:00
3546.06,2019-01-02 00:00:00
3489.97,2019-01-31 00:00:00
3337.02,2019-01-30 00:00:00
3315.62,2019-01-29 00:00:00
3268.61,2019-01-28 00:00:00
3262.45,2019-01-25 00:00:00
3287.73,2019-01-24 00:00:00
3225.61,2019-01-23 00:00:00
3226.96,2019-01-22 00:00:00
3205.61,2019-01-21 00:00:00
3183.84,2019-01-18 00:00:00
3171.94,2019-01-17 00:00:00
3173.35,2019-01-16 00:00:00
3131.91,2019-01-15 00:00:00
3090.78,2019-01-14 00:00:00
3072.61,2019-11-01 00:00:00
3060.9,2019-10-01 00:00:00
3038.53,2019-09-01 00:00:00
3066.45,2019-08-01 00:00:00
3049.31,2019-07-01 00:00:00
3001.36,2019-04-01 00:00:00
2967.41,2019-03-01 00:00:00
2991.93,2019-02-01 00:00:00
3086.66,2018-12-31 00:00:00
3069.81,2018-12-28 00:00:00
3068.32,2018-12-27 00:00:00
3091.71,2018-12-26 00:00:00
3102.73,2018-12-25 00:00:00
3152.41,2018-12-24 00:00:00
3185.76,2018-12-21 00:00:00
3186.59,2018-12-20 00:00:00
3149.53,2018-12-19 00:00:00
3145.42,2018-12-18 00:00:00
3121.15,2018-12-17 00:00:00
3157.43,2018-12-14 00:00:00
3171.94,2018-12-13 00:00:00
3144.32,2018-12-12 00:00:00
3231.88,2018-11-12 00:00:00
3234.39,2018-10-12 00:00:00
3259.02,2018-07-12 00:00:00
3249.61,2018-06-12 00:00:00
3272.59,2018-05-12 00:00:00
3247.12,2018-04-12 00:00:00
3226.78,2018-03-12 00:00:00
3254.85,2018-11-30 00:00:00
3235.21,2018-11-29 00:00:00
